orig_taz,dest_taz,purpose,attraction_district,attraction_taz,observed_trips,distance,estimated,category
147,3298,IX,16,147,7.058666229248047,62.7165,0.11106008956,Freeway
147,3305,IX,16,147,3.0054402351379395,49.776,0.2632872299,Freeway
147,3313,IX,16,147,3.3564767837524414,41.1688,0.7376309896,Freeway
147,3323,IX,16,147,76.51358458399773,24.5852,11.353558869,Freeway
161,3235,IX,16,161,3.453771471977234,26.3087,0.8432299021,Non-freeway
161,3237,IX,16,161,1.3095101118087769,34.2389,0.33502101959999997,Non-freeway
161,3252,IX,16,161,13.69679769873619,24.3499,4.8303775799999995,Freeway
161,3273,IX,16,161,1.5959293842315674,54.2817,0.30158558679999997,Freeway
161,3298,IX,16,161,4.253947973251343,60.9905,0.266910193,Freeway
161,3305,IX,16,161,2.012075662612915,48.05,0.6330067722,Freeway
161,3308,IX,16,161,2.0388576984405518,38.063,1.8766408401,Freeway
161,3318,IX,16,161,1.4972470998764038,26.1633,0.3671377769,Non-freeway
161,3323,IX,16,161,66.18200615048409,25.7815,20.211349552,Freeway
168,3235,IX,16,168,2.706451117992401,25.6372,0.5693536015,Non-freeway
168,3242,IX,16,168,0.6569693684577942,41.9757,0.1310262033,Non-freeway
168,3252,IX,16,168,23.677319169044495,28.6266,2.69083279,Freeway
